ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2025,18.665415,24.041046,23.239706,19.805258,19.561462,23.256327,1000.0664090970531,1120.3543140320107,500.947681395337,1011.2947180517949,703.2079640775919,482.3684715433046,102.01264,17.68752
2026,18.479605,23.52598,24.185263,18.673065,19.130014,23.983612,527.9149442212656,1015.9059077734128,351.8373222788796,819.0407791407779,637.6829757762607,790.838810428977,96.34631,17.87738
2027,18.841085,23.14209,24.290457,18.71041,19.629904,23.815805,565.9469865378924,997.8868481470272,971.402263501659,1055.1890135742724,388.49067783448845,594.4670921657234,,
2028,20.77945,24.611673,23.602152,18.24816,19.915506,22.986685,844.378270895686,754.7406501369551,799.5157775469124,1117.4172926461324,660.8202639967203,523.010591045022,,
2029,20.900116,23.458944,23.548452,19.217295,19.121683,23.399363,886.3777781138197,1551.1951255146414,432.79673670767806,613.6258581303991,519.6032766834833,909.8008770262823,,
2030,19.200815,23.243338,24.006735,20.12205,18.4292,23.886984,1056.066496996209,974.1814917884767,491.26658574678004,1048.358887550421,861.4582083653659,697.831580042839,,
2031,19.502167,23.749033,23.751953,19.736593,19.386728,23.51351,739.3166792811826,756.7529826890677,1017.1658668667078,945.4809352057055,1058.4344546310604,929.9677657603752,,
2032,19.005625,23.59661,23.968924,19.07543,18.691315,23.865042,594.3159045302309,1019.124212837778,448.84626995190047,889.8318939842284,730.3977287141606,486.0550877870992,,
2033,18.421335,23.70163,22.954254,19.13378,19.327341,23.715963,1094.561813492328,1565.677976072766,874.2871860042214,944.0326510928571,319.7133260197006,806.9069552700967,,
2034,19.61622,23.855133,23.45701,18.684967,19.22997,24.153433,681.7809605039656,1370.8325951476581,1430.0885580014437,912.3445195611566,803.1375030084746,959.2485327157192,,
2035,20.201172,23.037964,24.074259,18.457449,18.498444,23.864798,797.0683814724907,699.1964008309878,468.42540947254747,741.2345802644268,615.7322431798093,477.8160990506876,,
2036,18.863302,23.025003,23.51711,19.039948,18.815237,23.214224,469.63252894347534,925.9264414664358,632.8604182926938,395.7449645153247,638.5459776269272,1116.0371056292206,,
