ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2073,22.013502,19.224169,21.74488,20.153242,18.334568,18.40635,21.29032,22.900831,18.488962,123.41598005368724,270.1513732841704,169.38532737112837,111.62795373529661,150.19028547685593,119.45380601027864,,
2074,21.280207,19.339378,20.753405,19.6806,16.554352,18.224958,21.568733,23.113625,19.299189,194.45603980275337,272.1031851688167,119.51066215988249,249.9225431238301,108.93105695431586,124.1187850740971,,
2075,21.584932,19.022898,20.051666,19.068113,18.012472,19.771967,22.236961,23.66434,19.431355,149.7113677149173,188.30039407184813,162.45421637431718,161.92263028642628,226.0343455709517,176.14587106509134,,
2076,21.791983,19.083801,20.301413,19.87942,18.265852,19.776642,22.033531,23.257784,19.010008,126.1288407662505,309.08958933432586,158.7339976176736,137.22459748678375,168.41367723536678,100.09562823688611,,
2077,21.844435,18.184866,20.129316,18.423878,18.77363,20.00096,22.047083,23.707283,20.085714,142.91072376072407,167.64915742969606,250.34809271455742,191.54503209647373,117.32194678334054,93.03243445028784,,
2078,22.43625,18.879625,20.229578,17.959711,18.512678,20.329222,23.850645,23.835249,18.660078,149.6267504116986,217.91484068962745,159.75407238511252,151.19174106657738,139.95868868369143,104.74761753575876,,
2079,21.869118,19.315775,22.106262,19.451302,18.24885,19.788267,22.9975,23.306528,19.300669,195.3557547123637,54.65507834815071,193.26489386003232,135.65917030500714,109.82965575240087,227.29446997109335,,
2080,21.674292,18.491133,20.20574,20.176405,17.997458,20.092562,21.418007,23.951494,18.819052,154.56230930867605,153.11128523026127,200.00712468026904,142.06325697305147,99.72595565195661,89.59229787869845,,
2081,21.69116,18.885366,20.637968,20.242422,18.100485,20.872135,22.215233,23.90724,19.231184,172.316149060498,85.21647365596436,164.35149626486236,151.7212682054378,117.78839801845606,153.25195390032604,,
2082,21.037004,19.187803,21.305393,19.82391,17.981611,20.423414,22.804472,23.80234,19.625198,171.50329199794214,189.80849296494853,182.52454606517858,194.89581205998547,124.1585460898932,119.30314930505119,,
2083,20.897865,18.444153,21.03723,19.464905,17.60775,19.8094,22.753153,23.427452,19.253393,138.57019227580167,128.5536384122679,274.99452578485943,137.3034964199178,115.4172916256357,223.19421441061422,,
2084,21.065279,19.26206,20.358564,19.75447,17.281555,21.446478,22.491354,24.50065,18.095293,92.60577452805592,234.88655081600882,171.4177941714297,160.29065558686852,84.07693835761165,100.18173775461037,,
2085,22.016176,18.553688,20.965126,19.0656,17.895052,20.982077,21.609297,23.955313,18.895227,111.6092057141941,303.90413106651977,195.96289059554692,179.44673209349276,111.12209048587829,166.58379454747774,,
2086,21.63076,17.264246,21.187967,19.52167,19.034342,20.215242,22.934118,23.85814,19.637175,128.8339842867572,119.43332264054334,150.77706894662697,210.28472099569626,171.26931931707077,82.00554773648037,,
2087,21.877947,18.583656,21.180176,19.442734,17.805002,19.592882,22.106947,24.01143,18.314548,139.19685184228,366.4412714308128,145.02063687541522,248.13811593339778,124.38302588125225,91.53257534781005,,
2088,22.134232,19.091318,21.217493,19.628717,18.969173,20.831635,22.82361,24.209307,18.694038,205.0577935326146,212.24271594837774,194.51484638848342,112.61301513877697,132.46403727389406,174.98441691859625,,
2089,21.413477,18.24015,21.277826,19.528725,18.404684,20.429321,22.820787,24.66044,19.344934,89.68732238208759,252.59420843794942,224.52463377267122,180.37702595174778,144.72395931661595,186.44994538044557,,
2090,21.96739,19.973001,21.038054,19.779942,19.150103,20.644854,22.56624,24.176287,19.588415,131.90909632248804,211.41129805182572,256.84758267598227,203.42312624270562,131.53148124692962,110.88112948491471,,
2091,21.71099,18.39644,22.836885,19.459583,18.290932,20.281303,22.290049,25.330015,18.285639,176.50694433250464,223.87307910248637,187.4511498317588,246.34512521442957,203.92602980718948,139.4437158945948,,
2092,21.434448,19.759695,22.2566,19.616125,16.941956,20.992727,21.980158,24.73291,19.63462,140.49202061723918,241.22060275403783,330.9481672535185,274.132272778661,166.8971305974992,55.913834471357404,,
2093,22.592857,18.446291,21.602125,20.42248,17.222025,21.385298,22.499107,25.101837,19.22019,224.45644910330884,147.1433781873202,278.59462059277575,191.19495902268682,143.29369388578925,120.64926592865959,,
2094,21.92098,18.686897,22.46683,19.984467,17.624107,21.084343,22.321564,24.39522,18.733187,108.86685369769111,321.025082655251,163.38689179974608,146.94381163426442,89.06084394548088,131.35086301190313,,
2095,22.150038,18.197054,22.17761,19.64588,18.289076,21.746407,23.262276,24.792803,18.76262,67.6739554903179,244.37726267933613,144.0636448416626,131.0676546258037,169.22595720388927,134.96754561492708,,
2096,21.406012,18.706572,20.826027,19.92755,16.139257,20.959658,22.719404,24.860758,17.919367,95.0755488476716,153.05793819497922,303.04505508975126,201.81210947048385,97.39898133266252,124.35427964664996,,
2097,22.217247,19.832275,22.421274,20.183756,16.995897,21.406202,23.20365,25.632057,18.743004,212.10393428918906,147.6905175120919,144.48363153351238,246.14599906490184,73.19276294329029,124.52337155118585,,
2098,21.611616,18.875822,21.085413,20.130194,16.86498,21.253561,23.00191,25.288157,18.940874,181.15480812848546,253.54319117031991,212.0209540502401,124.28886174748186,90.15843061351916,170.0315202731872,,
2099,20.729471,18.94885,21.15039,19.429884,16.668814,21.170809,22.125013,24.765398,19.341513,122.94958376151044,262.99252346361754,224.72392305498943,100.2999179836479,147.6752110698726,126.85659114795271,,
2100,21.176926,19.44381,23.106339,20.51455,17.653105,21.467592,22.947477,25.366518,19.241175,152.3922934778966,408.03210764424875,146.527070493903,346.9884793565143,60.820523491929634,129.27843102661427,,
