ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2074,26.354156,22.764862,26.985352,25.643097,20.139252,21.87442,27.436707,28.84671,25.168274,147.44232732919045,138.93317026086152,126.61976495292038,206.99044985231012,98.90531381824985,98.08362652547657,,
2075,27.978271,21.213165,26.547821,25.452148,21.010468,23.361908,27.29309,28.422882,25.279877,155.52305777091533,157.27436559973285,150.47230889322236,122.84056073985994,194.60346400737762,127.61588384164497,,
2076,27.628815,22.317352,26.753082,26.290405,21.958221,23.131561,27.82248,28.878113,25.722107,124.5723464875482,266.6462624911219,264.6729506319389,111.777031829115,152.9647728893906,97.10716911940835,,
2077,27.498322,21.187958,26.233124,25.145782,21.876587,22.626434,28.025818,29.088837,25.781921,146.2115084985271,79.24387988168746,181.96939914487302,93.23738848906942,124.54536487930454,126.3406579499133,,
2078,28.025269,21.36316,27.083313,25.280914,20.90921,22.650116,28.409637,29.51236,24.797241,172.83294091466814,198.44712872290984,88.68092829943635,112.54536390770227,126.46850523306057,102.23047924228013,,
2079,27.297577,21.797333,27.622314,25.676544,20.54422,22.350372,28.303864,28.180328,25.6969,159.09216952859424,51.82024092064239,206.95735003100708,213.21195708587766,97.78512966586277,200.58379455003887,,
2080,27.235352,21.700531,26.790955,24.915863,22.047028,23.460052,26.633057,28.518738,25.822083,114.38819206086919,173.40858770767227,255.7555158273317,135.57297707302496,121.57364262384363,116.1683892714791,,
2081,27.552765,22.40512,26.310974,25.284027,20.607697,23.588379,27.73413,29.396942,24.530182,203.7153986748308,135.7604063290637,208.99251226801425,111.71943704830483,124.39140131464228,155.38473457563668,,
2082,26.858795,22.260773,26.530914,25.9357,22.01889,22.944336,28.682465,29.066467,25.8703,135.7701768516563,158.93019349314272,110.34035314223729,183.16585044376552,125.81582723069005,122.27610766422004,,
2083,27.212189,21.434296,26.97171,25.714355,21.077911,24.388092,28.356873,29.228027,25.339996,144.7330891387537,119.56622962024994,201.93624019157141,147.4120403174311,104.69931926345453,247.69139669369906,,
