,ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5
19,2034,17.845114,18.19615,18.625002,16.795475,16.999998,18.39488,146.6916470999422,192.5651745264986,280.8331044197985,220.66405090426997,182.37590237358745,152.31354958705197
20,2035,18.02795,18.45679,18.492937,17.522575,17.010506,19.062563,182.25750266283285,209.25634801478736,208.58586491340247,190.5188491087756,159.2366733799281,164.17480341806368
21,2036,17.604353,18.735994,19.346598,17.898838,16.839272,18.468208,189.3955957981234,189.806019707612,164.17830992832023,212.1878868289059,162.0974387820752,223.44981202186318
22,2037,17.59135,19.382996,19.326694,17.019894,17.161333,18.515217,188.371376273426,228.91792102709587,194.84031375686754,240.16123334949953,163.65845437012467,179.72694051568396
23,2038,16.938189,18.664133,18.989101,17.396666,17.500546,18.823198,170.65029222867452,193.59188245134646,207.36732975201448,202.03298901124072,196.8594607891646,142.98338420048822
24,2039,18.136826,18.96839,18.070822,18.021812,17.791285,18.38471,136.17846145607473,208.89295103334007,180.4690522778401,233.98545142445073,149.55969838465535,163.0941951123532
25,2040,17.166025,19.08501,19.001377,17.599997,18.280806,18.171492,164.60938515665475,214.45748558853666,232.76250603303197,217.028429705897,169.1428778685804,185.07103722258762
26,2041,18.145445,20.20471,18.907967,17.822876,18.534159,19.428017,154.68028754748957,207.29830427189881,194.7646599561267,185.3031146176363,177.01751774657168,182.42396620171348
27,2042,18.312922,19.157934,18.777657,18.091417,18.334824,18.326683,146.11713151625736,174.5643645444943,230.2963261725381,234.49925668646756,157.87071044996992,184.35590481358304
28,2043,17.577589,19.088097,19.46803,17.644714,18.345512,18.232521,139.11971222096327,245.550456737692,206.660528654902,253.73003756976686,156.4478880198294,175.2556624238423
29,2044,18.088797,19.83063,19.973059,17.766026,17.688717,18.559027,184.67375476648158,190.36268029813073,179.87627793991123,165.74088384600145,192.42472813784843,180.69629948440706
30,2045,17.291176,18.652092,19.073576,17.997568,17.761902,19.082035,172.00195873710982,309.2670842572261,218.73372207155626,204.6298728499096,191.59447582678695,174.83381288620876
31,2046,17.330803,18.994125,18.458351,17.810163,18.005924,19.4593,231.0343348675815,254.38503643599688,272.1885922306683,189.7770326177124,196.05151341384044,156.9786603045941
32,2047,18.15734,18.875605,19.042715,18.96892,18.371805,19.153526,146.5211578041817,165.824621209822,247.8729056838347,227.6179971275269,163.58955803516437,180.76817439578008
33,2048,18.32765,20.189735,18.534128,17.66012,18.324263,19.05615,157.93314293077856,210.8669858185749,244.53293140795722,255.0517162782853,144.06979100858734,158.33349526055827
34,2049,17.818813,20.716923,18.581825,17.787014,18.735981,19.634289,256.1292534126551,207.41055216694804,170.02236129446828,230.6383831477433,177.4402411560004,186.4768049970735
35,2050,18.233206,19.7367,18.538942,18.253334,18.960087,19.135902,155.90001774085067,233.85602110429318,202.14959778131742,156.42199401918333,220.7718001838657,136.68652571795974
36,2051,17.641989,18.78843,18.975376,17.938023,18.238007,19.02617,212.44461925816722,223.11509773135185,200.15080924204085,253.93324431133806,176.20210820132343,199.9745728171547
37,2052,18.22849,19.498976,19.103298,17.165693,17.978376,19.587973,173.78180298528605,219.17893469362753,250.46302807368193,228.72406382703048,170.81371429303545,130.26285625019227
38,2053,18.012106,19.925968,19.019657,17.12388,18.68201,18.60817,152.68797831213305,235.1732248571352,225.39733715730108,215.34568485294585,167.00050352228573,158.1039347453043
39,2054,18.091446,20.107567,18.918467,17.946938,19.40616,18.965147,229.38377078753547,226.04502229733043,185.74750955885975,180.25606498486013,188.42789710433863,166.5639771930728
40,2055,18.150154,20.014317,19.380323,17.839064,18.89442,19.78415,151.26214229421748,270.1984750878182,228.90845387373702,186.47608454193687,181.9724002340081,212.05780616146512
41,2056,17.728065,19.153227,19.550722,18.919296,17.99707,18.71689,181.16164099919843,237.00462326705747,218.15084987829323,201.10423195037583,178.3076586390962,166.86144077029894
42,2057,17.421003,19.520277,19.312914,17.70165,19.47698,19.087482,208.3615988081874,246.43406737668556,208.12899591132918,232.1338575326081,178.40316282486128,151.94938257118338
43,2058,17.909784,19.896568,19.616753,17.970604,18.951315,19.159801,215.75585766331642,268.66010769476816,314.96724704411463,278.361274360941,203.05146383107058,175.21625617264363
44,2059,18.552969,19.487694,19.076914,18.01603,19.214348,19.078798,144.83650683359883,204.03496937105956,266.9036919345672,238.76821187404857,185.97956426410747,204.61785362640512
45,2060,18.65986,20.621658,19.244286,18.82444,19.153965,19.207066,173.1733664015337,240.25187406514306,187.40501031315944,199.85246875894518,172.74946700890723,178.79344931498053
46,2061,18.014627,19.608866,19.348639,17.964111,19.166908,19.00177,213.73076902455068,298.57387466181535,270.9996520927234,239.85917340505694,175.61383913416648,164.6205109249422
47,2062,18.249996,19.775932,19.643244,17.07019,18.028831,18.998802,214.13207145997148,260.0459493323797,232.66935205610935,191.37141579121817,169.54334791225847,162.0303514020634
48,2063,18.547813,20.651852,19.290253,17.343306,18.403954,19.49792,152.92303775426035,307.1188168905792,172.67924822299392,251.01905150859238,145.24654278648086,185.0295589392772
49,2064,18.268679,19.507463,19.581964,17.858883,18.58453,19.381338,182.65847221991862,249.91445440718962,274.3262799689546,233.82959465307067,202.9559475457063,160.9396855252271
50,2065,17.933228,20.127352,19.657936,17.647533,19.054562,18.54711,188.83069900657574,173.1803953648523,272.94442699967476,188.95908505510306,181.7955980252009,183.64467758510727
51,2066,18.450842,20.121614,19.290825,18.098562,18.954536,19.141298,180.6697060499573,208.11722086109512,186.11661270751938,189.96999749706447,175.89623205494718,184.40136726676428
52,2067,18.693068,20.346478,19.231018,17.900064,18.891924,18.981516,179.04740687808953,259.3442819430493,281.5244054690993,242.3123788603334,150.61068996728864,182.27848632086534
53,2068,18.402626,20.104906,19.492636,17.929258,18.865435,19.433542,178.65932754757523,221.73584633619612,280.6609378007124,233.42611335283436,181.74205512186745,163.67599016775785
54,2069,17.936928,20.479235,18.749908,17.086391,19.224861,19.138817,213.88782475787593,309.1532279388048,229.94837683236256,236.19413035958132,153.34065418574028,162.5681963912939
55,2070,18.243042,21.971413,19.715816,17.35591,19.16867,18.996082,167.3586199991405,273.6092534803902,253.64434682960564,201.832775409639,216.18657820290537,165.61831819908548
56,2071,18.254663,21.208294,19.144709,17.687351,19.657576,18.812683,140.18051854945952,282.89299849348026,246.15792333715945,262.85377423519094,184.53137657670595,176.405085127044
