ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5
2027,27.262054,22.625275,25.051697,26.238281,22.311646,23.05478,26.220612,27.149323,25.248688,156.35767145140562,145.0758939172374,154.53465640166542,121.52185174782062,133.9959255012218,142.66155416989932
2028,26.084808,22.724823,25.602173,26.594177,22.000275,23.765839,26.516846,26.54779,25.524048,145.27007852884708,130.9737217539805,167.21607318904717,149.06436863529962,133.83170142624294,132.5672036895412
2029,27.12622,22.214874,26.593018,26.096222,22.297485,22.122345,26.917023,26.334412,25.652008,146.393095581152,138.39840228465619,119.36900890650577,146.621315892844,123.20318202691851,154.4503550961963
2030,27.389404,23.232971,25.42804,25.592834,23.198761,22.265594,26.99936,26.568176,25.801819,135.3102325796499,203.36075225786772,106.30627062928397,142.10937667958206,144.69177963619586,126.62280652293703
2031,25.970306,22.512756,27.530396,25.853119,22.58963,23.417603,26.856842,27.318756,26.553131,145.47113428416196,115.85873958247248,139.10783137689577,153.81476718539489,181.62362759176176,189.60613913441193
2032,26.51233,23.08847,26.199707,25.182098,22.242035,21.565002,26.836823,27.653107,27.111847,125.16114284953801,137.06615923001664,125.73905311655835,153.25653309555491,116.16898752654379,131.25883432512637
2033,26.928802,23.109406,25.659912,26.03009,21.9346,23.294037,27.62268,26.810303,25.501312,177.6529617724009,154.12240460864268,134.05768494849326,145.79040060925763,104.09644903120352,136.29695786949014
2034,26.595093,22.279083,25.328217,25.505981,22.873016,22.533875,26.561615,26.646606,25.351135,131.34449442877667,155.02358567464398,186.5230487775989,156.46974955889164,148.60761910931615,139.07107352279127
2035,26.53476,23.121826,25.166351,25.635437,22.16977,22.847382,26.131775,26.537933,25.19336,148.6267503220006,135.02933310664957,140.2866937824001,150.58335939247627,145.0187710375758,133.98537685643532
2036,26.508423,21.992462,26.370514,26.944489,22.509796,21.426727,27.741302,26.561432,25.469543,154.01760160020785,143.068561340624,114.25784795283107,165.08780224394286,142.98965788257192,178.3115351863671
2037,27.392303,21.53534,25.925354,26.793274,22.897491,21.33493,28.12918,26.924805,26.345734,188.99856368807377,173.9073140110122,189.98542251210893,139.48316705500474,138.15221483637288,163.9938836102374
2038,27.612,22.271301,25.131348,26.128235,21.682251,22.06485,27.329529,26.353485,25.601715,137.69001143518835,159.35641224787105,154.06249350853614,124.07086197490571,145.8584157982841,127.53216598866857
2039,26.688965,22.669922,25.365936,25.131958,22.757294,21.440765,26.882141,26.89621,26.16925,110.83332728594542,136.31273745704675,113.9608467456128,147.99921233206987,131.64420762695954,163.0832136666868
2040,27.248047,22.634216,25.799866,26.308685,21.87796,22.29831,27.229675,27.095093,26.282593,132.67661560530541,144.61638124121237,152.42597810938605,165.0335244834423,127.7579096640693,152.21982937218854
2041,26.276184,22.019684,26.017578,26.726898,23.189484,22.806488,27.974335,27.183228,25.278595,124.83688683641958,168.1785578970448,142.43308037112,118.81822245195508,134.8902209647349,151.395205911831
2042,27.780426,23.814667,25.915192,25.03421,22.679077,22.211151,27.001373,27.563812,26.784912,111.18950894015143,130.74619326362154,147.20313545985846,192.12413123168517,139.995630341582,150.86673736805096
2043,26.881653,21.907196,26.64392,26.718231,22.389282,23.42868,27.216522,27.005646,24.756683,115.73827849133522,150.71238813761738,141.56166726752417,148.23814725677948,140.644654200878,160.60242202074733
2044,25.976654,22.099457,26.262573,26.169373,23.283691,22.67392,27.199768,26.92926,26.211334,156.68394242820796,173.67370579231647,129.8238354633213,146.7861524426553,164.32194434601115,141.59212900267448
2045,27.077393,22.141205,25.917511,25.657806,23.429901,23.131927,27.247192,28.313812,25.456024,144.26779913774226,186.28232718474464,163.13896285064402,117.90867538220482,153.5107571617118,140.69926260126522
2046,27.664886,22.010132,26.304901,25.565704,22.711517,23.02707,28.0271,27.879425,27.193176,186.9774316175608,168.9935066831822,152.83338696317514,107.94741029822035,160.3331301608705,163.702442702197
2047,27.310028,23.407928,26.681854,27.703247,22.66397,22.950592,27.444336,27.707458,27.07071,135.047082631354,143.62115101102972,170.0432538462337,173.8996384141501,141.2748194852611,139.41451356440666
2048,27.511688,23.327484,26.615173,25.73761,22.68686,22.786743,27.507538,27.788086,26.646393,128.4768110010191,162.88580094842473,127.77806614394649,164.42590595543152,121.38656783063198,137.44627352280077
2049,27.024506,23.550995,28.763489,25.52832,23.463562,23.794464,27.67279,27.274841,26.581757,201.86510028142948,155.83457240718417,122.08696213492658,197.69907893787604,142.32787123328308,147.9441162358853
2050,26.94397,23.524994,28.019104,24.738892,22.85431,23.258392,27.396942,27.06961,26.841034,140.26290299279935,177.74446800467558,121.02559771301458,150.1686237534159,156.06426549784373,118.53911996731767
2051,26.73587,22.758331,26.461304,25.522552,23.037567,23.946747,27.817749,27.58847,25.028595,161.24087370044435,173.23297208931763,180.39731064200168,189.43280040111858,146.62363617389929,169.40330213983543
2052,28.509583,22.248047,26.655182,27.083038,22.293701,23.027618,27.065643,27.979858,27.814117,137.39068636496086,153.41424938233104,158.65129362791777,136.09116805455415,136.34725839074235,114.8639655963052
2053,27.50827,23.70108,26.705078,26.353607,23.406464,23.449615,28.458618,28.470825,25.67389,125.00245428818744,141.48091558672604,151.92141080478905,118.29542958294041,124.52651802595938,122.49533898066147
2054,26.990692,22.873077,26.327148,26.084747,23.34134,23.088043,27.226868,27.885315,27.276062,193.018448134535,164.14091652623028,132.61970696185017,127.29921378486324,151.15651282467297,126.6646545889671
2055,27.874146,23.648834,27.409271,26.61145,23.880524,24.142365,27.387604,29.166443,26.784058,141.64600389485713,178.87786525825504,162.62216448958497,109.02849162812345,156.98840827026288,162.2398068459006
2056,27.297424,22.393097,26.217987,25.795898,22.738373,22.250946,28.37674,27.654602,26.23758,148.39964691200294,176.38543704233598,142.32051513099577,149.80576586094685,165.09751831035828,148.15672495169565
2057,27.375702,22.03482,26.58078,28.213745,22.451569,23.577728,27.013397,28.269562,25.987549,157.75916855345713,222.89446555660106,144.5571359457972,156.3906195340678,127.26835608991678,146.36935239977902
2058,27.33786,23.653625,26.571564,26.24649,22.587006,24.615814,27.31961,28.242157,25.999207,182.89267316577025,228.78221492719604,176.58583674347028,180.17443233984523,170.42006340343505,152.66113662655698
2059,26.536804,24.253998,26.190735,25.740631,23.512726,24.408478,27.690552,28.235962,25.525146,127.77443535887869,116.48636410245672,152.49690361961257,157.2685799386818,178.36190282505413,176.17707920871908
2060,27.282562,23.197693,28.689514,26.938354,23.000854,23.270447,27.78543,28.194916,26.720703,130.67484907078324,165.90688588185003,151.9371381495148,147.07888478587847,135.32415695735835,146.44433825451415
2061,27.157562,23.014374,26.013367,26.449219,22.331512,23.427795,27.685791,28.224213,25.422333,171.84381524421042,265.4691424933844,191.04165819153422,153.19193164614262,151.5955574432155,138.0267370157526
2062,28.244293,23.123138,27.711426,26.658905,22.663147,23.09848,27.289429,28.644836,26.821777,176.61549863551045,149.74668923823629,140.24046627018834,120.36068587767659,136.87427334225504,136.13848448731005
2063,27.380524,24.005585,26.272522,25.692139,22.81723,22.828888,28.305054,28.394897,25.592163,132.4298273317254,224.280170603015,168.7333737681911,152.40353976769256,128.92127007362433,161.09425520407967
2064,27.328308,23.24887,26.522583,25.879547,22.56308,24.53415,27.583252,28.598846,25.921387,146.65428627922665,184.8740825720597,191.0970153316157,159.91257074929308,150.0294240337098,136.6814305423759
2065,27.199158,23.863983,27.87616,26.294525,22.861725,23.079742,28.584625,27.697662,25.157837,144.26166956982343,137.49891231673246,206.5125482302392,108.92838858198957,147.2713281356846,151.3710719635128
2066,27.72232,23.220612,27.01239,26.838623,23.349457,24.296661,28.505585,27.730682,25.486359,137.6555588663905,124.24316079559503,140.37957188174914,145.8284363237908,155.58427873329492,155.28714097308693
2067,28.604797,23.824768,28.296082,25.90097,24.130768,24.026886,27.051544,28.28421,25.522339,164.86989524855744,221.7808781322674,224.23359141102992,152.33592144213617,134.2662921306328,165.89250154065667
2068,27.565216,23.471832,26.351776,26.091003,22.436432,23.664673,27.93283,27.806946,25.830933,150.12194746232126,156.71838599300827,173.84443127084523,128.24178865048452,153.77956310694572,133.34397442595218
2069,27.223816,22.904999,26.88742,26.258698,22.261505,24.621643,27.046387,27.929749,26.526093,175.79545301377948,210.07131375954486,140.34718289331067,139.68057471793145,128.8935143049457,131.28274146438343
2070,28.211487,22.825409,27.270355,26.17517,22.208466,24.003479,28.679413,28.91864,27.075684,135.14588625985198,178.1435467855772,160.13152611121768,121.16850349120796,187.89564857434016,129.7227918104909
2071,26.802612,22.83731,26.909912,25.467682,22.101654,24.935516,28.220245,28.879974,25.88617,114.87471338332398,205.0251354026841,171.07519810233498,198.06041541014565,146.14953361015068,142.001509234251
2072,27.973755,22.956451,26.81073,27.832214,22.356049,23.529144,28.844421,29.12909,26.318665,149.29125982598634,144.6084728173446,201.94361651520012,169.83116740811965,145.72590596035297,125.2408849170024
2073,27.90207,23.744629,27.989685,28.366608,22.704803,22.41397,27.913483,29.004974,26.004425,122.77014003630029,188.12615209026262,156.41845693462528,107.6208750688238,131.0693837600411,124.74399987549987
2074,27.137573,23.380096,26.985352,25.743408,23.17508,24.184265,28.01828,28.982086,25.890198,167.46265639085323,186.9729916448705,156.24156029953156,163.5618407097354,123.96481752803084,113.55011004052358
2075,27.978271,23.064026,27.69345,26.075043,23.452393,25.48117,27.29309,28.708527,26.585144,144.75277644814923,192.4627887623501,175.09429564524908,159.66711012006272,183.02867410238832,142.25356756069232
2076,28.59317,22.517914,26.935455,26.370789,23.177643,24.457794,27.82248,29.617767,25.758606,124.6021715713141,222.89116169849876,201.50214860332198,135.25852832535747,157.38888363994192,136.74202639158466
2077,27.973267,24.082184,26.233124,28.109192,21.890045,23.124054,28.025818,29.691223,26.86142,148.41609159375366,152.85417945269728,147.73885230679298,169.93252585380105,148.76352996361675,149.96140417570132
2078,28.166687,24.295685,28.089996,27.818481,22.133484,23.698456,28.980621,29.51236,26.521057,166.61373404203914,144.5411488013633,155.62754080019658,147.09719982056413,140.33166531880852,140.8088297393988
